npsn,nama_sekolah,status,kecamatan,kelurahan,alamat,jumlah_rombel,jumlah_guru,jumlah_laki_laki,jumlah_perempuan,total_peserta_didik
20219328,SMP NEGERI 23,Negeri,Andir,Ciroyom,Jl. Arjuna No. 20-22,16,28,270,280,550
20219410,SMP NEGERI 24,Negeri,Bojong Loa Kaler,Suka Asih,Jl. Sukamulya No.33,18,30,305,315,620
20219409,SMP NEGERI 25,Negeri,Astanaanyar,Karang Anyar,Jl. Pajagalan No. 67,18,31,305,315,620
20219408,SMP NEGERI 26,Negeri,Sukajadi,Sukawarna,Jl. Sarimanah Blok 23,20,34,340,350,690
20219407,SMP NEGERI 27,Negeri,Cibeunying Kidul,Cicadas,Jl. Yudhawastu Pramuka I,18,30,305,315,620
20219406,SMP NEGERI 28,Negeri,Lengkong,Turangga,Jl. Solontongan II Buahbatu,16,28,270,280,550
20219405,SMP NEGERI 29,Negeri,Sukasari,Isola,Jl. Geger Arum no. 11 A,22,38,375,385,760
20219411,SMP NEGERI 30,Negeri,Kiaracondong,Sukapura,Jl. Sekejati No.23,18,31,305,315,620
20219412,SMP NEGERI 31,Negeri,Batununggal,Binong,Jl. Binong Jati No. 139,16,28,270,280,550
20219413,SMP NEGERI 32,Negeri,Andir,Ciroyom,Jl Arjuna No 18 Bandung,16,27,270,280,550
20219422,SMP NEGERI 33,Negeri,Bojong Loa Kaler,Babakan Tarogong,Jl. Babakan Tarogong,18,30,305,315,620
20219421,SMP NEGERI 34,Negeri,Bandung Kidul,Batununggal,Jl. Waas Soekarno Hatta,18,31,305,315,620
20219420,SMP NEGERI 35,Negeri,Coblong,Dago,Jl. Dago Pojok No. 12 Bandung,20,35,340,350,690
20219419,SMP NEGERI 36,Negeri,Babakan Ciparay,Babakan,Jl. Caringin,16,28,270,280,550
20219418,SMP NEGERI 37,Negeri,Kiaracondong,Babakan Sari,Jl. Babakan Sari Kiaracondong Bandung,16,27,265,275,540
20251907,SMP NEGERI 38,Negeri,Bojong Loa Kidul,Cibaduyut Kidul,Jl. Borobudur Cibaduyut RT 03 RW 04,12,22,200,210,410
20219417,SMP NEGERI 39,Negeri,Babakan Ciparay,Babakan,Jl. Holis No.439,16,27,270,280,550
20219401,SMP NEGERI 40,Negeri,Bandung Wetan,Taman Sari,Jl. Wastukencana No. 75 A,20,35,345,355,700
20219400,SMP NEGERI 41,Negeri,Andir,Ciroyom,Jl. Arjuna No. 18,14,24,230,240,470
20219399,SMP NEGERI 42,Negeri,Buahbatu,Margasari,Jl. Manjahlega Bandung,16,28,270,280,550
20219386,SMP NEGERI 43,Negeri,Regol,Balong Gede,Jl. Kautamaan Istri No.31,14,25,235,245,480
20219385,SMP NEGERI 44,Negeri,Bandung Wetan,Citarum,Jl. Cimanuk No.1,18,31,305,315,620
20219384,SMP NEGERI 45,Negeri,Antapani,Antapani Kidul,Jl. Yogyakarta Antapani Bandung,18,30,305,315,620
20219383,SMP NEGERI 46,Negeri,Cibiru,Cipadung,Jl. Cigagak,16,27,265,275,540
20219382,SMP NEGERI 47,Negeri,Cicendo,Sukaraja,Jl. Budi Cilember No. 19 B,16,28,265,275,540
20219381,SMP NEGERI 48,Negeri,Rancasari,Mekarjaya,Jl. Baturaden VIII No.19,18,30,305,315,620
20219380,SMP NEGERI 49,Negeri,Antapani,Antapani Kulon,Jl. Antapani No. 58 Cicaheum,18,31,305,315,620
20219378,SMP NEGERI 50,Negeri,Ujungberung,Cigending,Jl. Pasirjati No. 12,16,27,265,275,540
20219388,SMP NEGERI 51,Negeri,Rancasari,Derwati,Jl.Derwati,16,27,265,275,540
20219389,SMP NEGERI 52,Negeri,Cidadap,Ciumbuleuit,Jl. Bukit Raya Atas,14,25,230,240,470
69775307,SMP NEGERI 53,Negeri,Mandalajati,Pasir Impun,JL. ARCAMANIK NO 10 SINDANGLAYA,14,24,230,240,470
69894966,SMP NEGERI 54,Negeri,Gedebage,Rancanumpang,Jl. Raya Utsman Bin Affan,12,20,195,205,400
69963624,SMP NEGERI 55,Negeri,Bandung Kulon,Cigondewah Kaler,Jl. Batu Rengat RT. 04/01,12,20,195,205,400
69963625,SMP NEGERI 56,Negeri,Panyileukan,Cipadung Kulon,Jl. Pasanggrahan IX RT.04/10,12,20,195,205,400
69963626,SMP NEGERI 57,Negeri,Bandung Kulon,Gempol Sari,Jl. Gempol Sari No. 142 RT.05/09,12,20,195,205,400
70007964,SMP NEGERI 58,Negeri,Cinambo,Cisaranten Wetan,Jl. Cisaranten Wetan No. 7,10,18,165,175,340
69989951,SMP NEGERI 59,Negeri,Mandalajati,Jatihandap,Jl. H. Abdul Hamid No. 66,12,20,195,205,400
69989952,SMP NEGERI 60,Negeri,Regol,Ciseureuh,Jl. Ciburuy Kav. 59 Moch Toha,10,18,160,170,330
69989953,SMP NEGERI 61,Negeri,Cibeunying Kidul,Padasuka,Jl. Babakan Haji Tamim No.33,10,17,160,170,330
69989954,SMP NEGERI 62,Negeri,Batununggal,Maleer,Jl.Rajamantri Kaler No 25,10,17,160,170,330
69989955,SMP NEGERI 63,Negeri,Cibeunying Kaler,Cihaurgeulis,Jl. Surapati No. 82,10,17,160,170,330
70007965,SMP NEGERI 64,Negeri,Sukajadi,Sukawarna,Jl. Dr. Djunjunan No.79,10,17,160,170,330
70007926,SMP NEGERI 65,Negeri,Rancasari,Mekarjaya,Jl. Baturaden VIII No. 19,10,17,160,170,330
70008558,SMP NEGERI 66,Negeri,Gedebage,Cisaranten Kidul,Jalan Riung Wargi,10,17,160,170,330
70008559,SMP NEGERI 67,Negeri,Andir,Campaka,Jl. Asrama Kipal No. 55,10,16,155,165,320
70008560,SMP NEGERI 68,Negeri,Cicendo,Husen Sastranegara,Jl. Terusan Pasteur No.38,10,16,155,165,320
70008561,SMP NEGERI 69,Negeri,Coblong,Dago,Jl. Sangkuriang No. 87,10,16,155,165,320
70008562,SMP NEGERI 70,Negeri,Sukasari,Sarijadi,Jl. Cilandak Sarijadi Blok. 1,10,16,155,165,320
70008563,SMP NEGERI 71,Negeri,Cibiru,Palasari,Jl. Manglayang I No. 1,10,16,155,165,320
70007927,SMP NEGERI 72,Negeri,Panyileukan,Cipadung Kidul,Jl.Terusan Panyileukan Blok Lembang,10,15,150,160,310
70007928,SMP NEGERI 73,Negeri,Babakan Ciparay,Sukahaji,Jl. Jend. Sudirman No. 587,10,15,150,160,310
70008575,SMP NEGERI 74,Negeri,Sukajadi,Cipedes,Jl. Cipedes Tengah,10,15,150,160,310
70007929,SMP NEGERI 75,Negeri,Babakan Ciparay,Babakan Ciparay,Jl. Caringin Gg. Lumbung 2,10,15,150,160,310
